# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16695558	-1.274752375
16779311	-1.296263375
16979024	-1.061438625
16720077	1.69849225
16914062	1.41330525
16703407	1.525346375
16977833	2.826257625
16663033	0.9706475
16704254	1.209053375
17044414	-1.800823375
16793644	-1.0333725
16874228	-0.70753275
16758332	-1.2401945
16818693	-1.3459485
17071497	-1.46222375
16996246	1.415245875
16854016	1.021543625
16875056	-1.313120625
17105862	-1.9971765
17007620	-0.933306125
16885726	0.931269125
16951485	-1.612997625
16868576	-1.2344685
16847485	-1.035290125
16872845	-3.52113
16864651	1.41882825
16876849	1.0651935
16843162	1.636331125
17022996	1.5623735
16985688	-0.95778875
16943548	1.3933325
16668397	1.6585695
17009193	-1.487888375
17072979	1.33625975
17003858	0.962682125
17026149	-2.68115825
16997615	-1.392329625
17065992	-2.681310125
16853445	-0.896436625
17032930	-2.653891625
16819082	1.249493
16682904	-0.89647825
17114326	-2.16185425
16925057	-1.2440055
16899764	1.8981965
16819563	0.934079625
16977045	4.473176625
16843511	1.57508475
16871586	1.196670625
16703068	-0.79825675
16748695	1.9608575
17083261	3.02910475
17078610	1.227722375
16966186	-1.0737495
16841435	1.550200875
16851926	1.284402875
16988477	1.610729
17105114	1.80430275
16832852	-1.527423375
17025805	-1.109833625
17035749	1.404194125
16848097	1.077312375
16893704	1.361744625
16816186	1.212595375
16698286	2.910278375
16879276	1.564277
17104587	-0.8978765
16780909	3.25954725
16960567	-1.913010625
16862776	-3.16181325
16676355	1.028156625
17041111	1.49136925
16843578	1.35443875
16777756	1.75128675
17052115	-0.941763125
16744174	-0.89972325
16882332	2.261195
17102668	0.741327
16802771	0.62732075
17043177	-2.117143
16672893	1.20691725
16713628	1.349276
16774551	-0.805173
16990534	-2.14278875
16941560	1.203010375
17095899	1.843058625
16833204	2.247571
16955064	-1.0358175
16955197	1.8753435
16748240	3.00592125
16673268	-1.0206255
16677278	-1.215479875
16668109	-2.18564425
